Designator,Mid X,Mid Y,Rotation,Layer
C1,102.575,-66.95,90.0,top
C10,109.995,-64.8,0.0,top
C11,108.025,-55.875,0.0,top
C12,111.175,-60.975,0.0,top
C13,111.175,-59.825,0.0,top
C14,102.15,-57.22,90.0,top
C15,111.175,-58.7,0.0,top
C2,108.325,-66.975,270.0,top
C3,102.275,-60.495,270.0,top
C4,111.75,-50.475,0.0,top
C5,104.0,-53.0,270.0,top
C6,106.3,-45.645,270.0,top
C7,102.725,-48.125,0.0,top
C8,111.0,-55.675,0.0,top
C9,109.07,-63.625,0.0,top
D1,112.525,-68.05,270.0,top
J3,99.0,-62.1,0.0,top
R1,112.55,-64.64,270.0,top
R2,104.475,-50.475,0.0,top
R3,106.7,-53.35,270.0,top
R4,110.525,-53.975,270.0,top
U1,106.0625,-59.75,270.0,top
U2,109.75,-47.475,90.0,top
U3,100.945,-51.25,180.0,top
U4,101.55,-45.1375,270.0,top
X1,105.5,-28.2,90.0,top
Y1,105.4,-66.85,0.0,top
